,indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-1,140.95,141.02,140.99,140.7,141.41,141.3,141.61,142.05,142.57,142.46,142.99,142.8041,142.43,142.6101,142.42,142.67,142.71,142.68,142.73,142.7
1,0,147.78,147.4,149.96,147.89,146.468,146.66,146.1602,146.0353,146.61,146.88,146.7982,146.85,146.96,147.15,147.25,147.36,147.22,147.21,145.1308,144.125
2,-1,148.25,148.24,145.8,146.26,146.21,146.6371,146.24,146.4699,146.92,147.8,147.4407,147.57,147.53,147.5,147.61,147.85,148.29,147.78,147.4,149.96
3,0,148.211,147.6599,147.92,148.2043,148.8357,148.33,148.2,148.15,148.02,147.86,148.37,148.36,148.25,148.24,145.8,146.26,146.21,146.6371,146.24,146.4699
4,1,147.38,147.41,147.96,148.22,148.27,148.211,147.6599,147.92,148.2043,148.8357,148.33,148.2,148.15,148.02,147.86,148.37,148.36,148.25,148.24,145.8
5,0,148.15,148.05,148.2,148.18,147.26,147.38,147.41,147.96,148.22,148.27,148.211,147.6599,147.92,148.2043,148.8357,148.33,148.2,148.15,148.02,147.86
6,-1,141.56,141.2509,144.19,146.09,148.01,148.15,148.05,148.2,148.18,147.26,147.38,147.41,147.96,148.22,148.27,148.211,147.6599,147.92,148.2043,148.8357
7,0,143.967,143.94,144.22,144.5,144.3699,144.25,144.48,144.92,145.13,145.24,145.06,144.58,143.14,144.2779,142.1,141.5346,141.145,140.5801,141.16,141.29
8,1,145.1599,144.8292,143.967,143.94,144.22,144.5,144.3699,144.25,144.48,144.92,145.13,145.24,145.06,144.58,143.14,144.2779,142.1,141.5346,141.145,140.5801
9,0,149.8,149.8,149.87,149.32,151.09,151.5811,150.1,149.645,150.304,150.98,151.14,151.12,151.1601,151.17,151.15,150.34,150.36,150.06,149.49,149.13
10,-1,148.22,148.43,147.51,148.71,148.865,149.2,149.97,149.79,150.25,150.03,150.05,150.09,150.1,150.18,149.8,149.8,149.87,149.32,151.09,151.5811
11,0,148.03,148.12,148.4,148.23,147.95,148.22,148.43,147.51,148.71,148.865,149.2,149.97,149.79,150.25,150.03,150.05,150.09,150.1,150.18,149.8
12,1,149.35,149.77,150.27,149.64,148.0601,148.076,147.99,148.51,148.39,148.02,148.05,148.02,148.03,148.12,148.4,148.23,147.95,148.22,148.43,147.51
13,0,151.3,151.55,151.9,151.48,150.9905,151.42,150.65,150.99,151.21,151.31,151.11,151.0034,150.95,150.88,150.17,149.69,149.35,149.77,150.27,149.64
14,-1,147.75,147.8,147.0,145.88,147.49,148.15,149.995,151.16,151.085,150.2208,150.75,151.08,151.03,150.74,150.9,150.8,151.6,151.3,151.55,151.9
15,0,148.27,147.735,148.43,148.75,148.61,149.0455,148.78,148.76,148.88,149.17,148.9,148.34,147.75,147.8,147.0,145.88,147.49,148.15,149.995,151.16
