,indicator,1,2,3,4,5,6,7,8,9,10
0,-1,142.47,143.01,142.8026,142.425,142.6145,142.42,142.65,142.7,142.7,142.73
1,0,146.66,146.16,146.03,146.63,146.87,146.78,146.9,147.05,147.07,147.2
2,-1,147.5,147.6,147.53,148.0,147.61,147.85,148.15,148.07,147.4,149.96
3,0,147.65,147.915,148.2,148.84,148.31,148.19,148.15,147.96,148.49,148.32
4,1,145.12,145.16,145.2,144.62,143.145,144.275,142.11,141.535,141.15,140.585
5,0,148.29,148.11,148.11,147.05,145.26,145.31,145.48,145.48,145.29,145.97
6,-1,150.06,150.06,149.75,150.08,149.89,149.82,149.7,149.32,151.11,151.59
7,0,147.5,148.715,148.86,149.19,149.97,149.7905,150.18,150.02,150.06,150.06
8,1,148.05,148.05,148.06,147.91,148.44,148.23,147.99,147.95,148.45,147.5
9,0,151.05,150.72,150.17,150.81,151.5,151.31,151.57,151.92,151.48,150.99
10,-1,150.72,151.0801,151.05,150.72,150.17,150.81,151.5,151.31,151.57,151.92
11,0,149.18,148.98,148.49,147.73,147.87,147.85,145.87,147.4891,148.14,149.9901
12,1,148.83,148.8,148.85,149.18,148.98,148.49,147.73,147.87,147.85,145.87
13,0,151.4242,149.485,150.48,150.04,150.07,149.9,150.04,150.25,150.12,150.1
14,-1,148.84,149.51,149.99,150.19,149.92,149.9264,152.34,152.635,152.48,152.73
15,0,146.76,147.29,147.1,147.3,148.06,147.97,147.5,147.43,147.35,147.22
16,1,139.07,139.19,139.1821,138.56,137.27,136.52,136.61,136.36,135.23,134.77
17,0,140.88,141.1209,138.76,138.62,139.5,139.54,139.59,139.85,140.05,138.63
18,-1,139.04,139.35,139.27,139.7,139.675,139.95,139.16,139.49,140.88,141.1209
19,0,138.19,138.22,138.0,136.79,136.93,136.39,136.3102,136.42,136.28,137.0
20,1,138.01,138.98,139.52,139.84,139.77,141.72,138.92,138.2,135.04,134.81
21,0,138.889153741,137.671178126,137.671178126,138.01,138.98,139.52,139.84,139.77,141.72,138.92
22,-1,138.64955198,138.889153741,137.671178126,137.671178126,138.01,138.98,139.52,139.84,139.77,141.72
23,0,139.458207922,140.810959527,139.244862521,140.406631556,139.308456821,140.007295289,138.64955198,138.889153741,137.671178126,137.671178126
24,1,141.684507611,139.458207922,140.810959527,139.244862521,140.406631556,139.308456821,140.007295289,138.64955198,138.889153741,137.671178126
25,0,152.4266532,153.005690787,153.340134911,153.464927494,153.355110021,153.165425294,153.145458481,152.99570738,153.055607821,153.335143208
26,-1,143.451570594,146.117140177,145.86755501,145.59800303,145.438268523,144.759396869,151.048943078,155.481575644,154.814484409,156.489899719
27,0,148.363406681,146.077206551,146.281866388,145.907488637,145.053907366,144.419961042,144.270209942,144.559728735,143.062117899,145.73767089
28,1,147.807830099,148.363406681,146.077206551,146.281866388,145.907488637,145.053907366,144.419961042,144.270209942,144.559728735,143.062117899
29,0,151.538130005,152.087217372,150.919158791,150.250270543,150.569739557,150.809341317,151.058926484,150.599689777,150.849274944,150.839291537
30,-1,149.062245148,148.603108275,148.962411081,151.098860111,150.669673458,151.433304235,151.303519948,151.178727365,151.538130005,152.087217372
31,0,143.152068393,143.1620518,142.612964433,142.193661352,142.553063992,141.964042998,141.794325085,142.003976625,142.463213332,142.033926845
32,1,144.389910988,143.321786307,143.062217733,143.152068393,143.1620518,142.612964433,142.193661352,142.553063992,141.964042998,141.794325085
33,0,142.612964433,142.762715533,143.501487627,143.611404935,142.263545199,144.390010822,145.458235337,145.128782916,144.389910988,143.321786307
34,-1,143.541421254,143.0123007,142.253561792,142.612964433,142.762715533,143.501487627,143.611404935,142.263545199,144.390010822,145.458235337
35,0,143.19200202,143.351736527,143.701155761,142.822615973,142.563047399,142.722781906,143.621288507,143.652436736,143.541421254,143.0123007
36,1,143.511471034,144.090508621,144.280193348,144.240259722,143.820956641,142.762715533,144.050574995,143.22195224,143.289340235,141.584673544
37,0,144.110475435,145.148749729,145.318467643,144.844255826,143.766047904,144.489844889,145.088849289,142.244576726,143.511471034,144.090508621
38,-1,142.223611572,142.433263112,142.842582786,143.970707741,143.970707741,144.120458841,143.990674555,144.110475435,145.148749729,145.318467643
39,0,141.769366568,140.74107568,141.444905851,141.594656951,142.133760912,142.433263112,142.173694539,142.223611572,142.433263112,142.842582786
40,1,141.884175745,140.107129356,139.408290888,138.909120554,139.268523195,138.579668134,138.150381646,138.190315273,138.130414833,137.840896039
41,0,142.772698939,143.880857081,141.884175745,140.107129356,139.408290888,138.909120554,139.268523195,138.579668134,138.150381646,138.190315273
42,-1,142.752732126,142.443246519,142.393329486,142.413296299,142.762715533,141.574690138,142.153727725,142.962383666,142.772698939,143.880857081
43,0,134.226902821,136.023916023,136.03389943,140.706133757,140.336747709,141.569698434,142.582914378,142.752732126,142.443246519,142.393329486
44,1,138.11044802,138.2302489,138.250215713,138.29014934,138.569684727,138.43990044,138.389983407,138.58965154,138.569684727,134.226902821
45,0,144.439927855,144.589678955,144.659562802,144.719463242,144.469878075,144.648780723,142.343412452,141.305138157,141.095486617,140.885835077
46,-1,143.351736527,144.160392468,145.20865017,145.103824399,146.172048914,146.157073804,146.037272924,145.907488637,146.256907871,147.065563812
47,0,140.99565255,140.596316283,141.180345574,141.859217228,142.662881466,142.213628165,142.433263112,142.592997619,142.293495419,143.781023014
48,1,141.095486617,140.945735517,140.127096169,139.478174735,137.771012192,137.800962413,137.301792078,137.371675925,137.301792078,136.672837458
49,0,146.097173364,147.594684366,145.563061107,145.997339297,147.125464252,147.514817113,147.155414472,148.551893399,149.591365702,149.241946469
50,-1,145.707820504,146.097173364,147.594684366,145.563061107,145.997339297,147.125464252,147.514817113,147.155414472,148.551893399,149.591365702
51,0,151.568080225,151.568080225,151.727814732,149.221979655,146.356741938,145.47820215,145.707820504,146.097173364,147.594684366,145.563061107
52,1,151.438295938,150.839291537,151.777731765,151.508179785,151.568080225,151.568080225,151.727814732,149.221979655,146.356741938,145.47820215
53,0,152.446719847,152.656271553,153.664595628,153.205358921,151.328478465,151.438295938,150.839291537,151.777731765,151.508179785,151.568080225
54,-1,150.32015439,150.400021643,150.519822524,152.266918693,152.4266532,152.087217372,152.406686386,152.446719847,152.656271553,153.664595628
55,0,149.721149989,150.000685376,149.911733223,149.451598009,148.433290527,150.180386696,150.35010461,150.360088017,150.49985571,150.14045307
56,1,150.769407691,150.02065219,150.23938863,149.870901089,149.776058726,149.721149989,150.000685376,149.911733223,149.451598009,148.433290527
57,0,153.015674194,152.296868913,152.766089027,154.243633215,153.524827934,153.644628815,153.326158142,153.674579035,151.867582426,151.508179785
58,-1,156.539816752,156.380082245,156.313393089,157.078920713,156.759451699,156.200380925,156.030663011,156.839318952,157.62800808,158.067277974
59,0,150.58970637,151.138793738,150.869241757,149.950768343,148.2436058,148.742776134,149.621315922,149.157087512,149.082211962,150.250270543
