frame,updown,date,0
1,-1.0,2016-01-04,94.83786010742188
2,0.0,2016-01-04,94.83786010742188
2,0.0,2016-01-05,94.76809692382812
2,0.0,2016-01-06,94.29371643066406
2,0.0,2016-01-07,92.6822738647461
3,1.0,2016-01-29,87.05271911621094
3,1.0,2016-02-01,87.08061218261719
3,1.0,2016-02-02,85.76217651367188
3,1.0,2016-02-03,87.00387573242188
3,1.0,2016-02-04,89.04782104492188
3,1.0,2016-02-05,89.68962860107422
3,1.0,2016-02-08,89.48523712158203
3,1.0,2016-02-09,87.43450927734375
3,1.0,2016-02-10,84.7001953125
3,1.0,2016-02-11,83.05113983154297
4,0.0,2016-05-16,106.34378814697266
4,0.0,2016-05-17,105.3049774169922
4,0.0,2016-05-18,104.83536529541016
4,0.0,2016-05-19,103.1206283569336
4,0.0,2016-05-20,104.7713394165039
4,0.0,2016-05-23,104.42980194091795
4,0.0,2016-05-24,105.52552795410156
4,0.0,2016-05-25,107.93047332763672
4,0.0,2016-05-26,108.46411895751952
4,0.0,2016-05-27,108.74874114990234
5,-1.0,2016-07-29,114.28433990478516
5,-1.0,2016-08-01,114.87493896484376
5,-1.0,2016-08-02,114.25588989257812
5,-1.0,2016-08-03,114.31993865966795
5,-1.0,2016-08-04,114.9460906982422
5,-1.0,2016-08-05,116.3335418701172
5,-1.0,2016-08-08,116.2904815673828
5,-1.0,2016-08-09,116.0967254638672
5,-1.0,2016-08-10,116.31916809082033
5,-1.0,2016-08-11,117.35980987548828
6,0.0,2016-08-30,114.39582061767578
6,0.0,2016-08-31,114.02265167236328
6,0.0,2016-09-01,114.49632263183594
6,0.0,2016-09-02,114.50348663330078
6,0.0,2016-09-06,115.07762145996094
6,0.0,2016-09-07,116.0033950805664
6,0.0,2016-09-08,114.10871887207033
6,0.0,2016-09-09,111.73330688476562
6,0.0,2016-09-12,113.59923553466795
6,0.0,2016-09-13,111.81942749023438
7,1.0,2016-10-10,112.68775939941406
7,1.0,2016-10-11,111.0873794555664
7,1.0,2016-10-12,110.72854614257812
7,1.0,2016-10-13,110.31949615478516
7,1.0,2016-10-14,110.84339141845705
7,1.0,2016-10-17,111.0730438232422
7,1.0,2016-10-18,108.16647338867188
7,1.0,2016-10-19,108.5540542602539
7,1.0,2016-10-20,108.7406234741211
7,1.0,2016-10-21,107.38426208496094
8,0.0,2016-11-15,114.90499114990234
8,0.0,2016-11-16,115.3539810180664
8,0.0,2016-11-17,115.72331237792967
8,0.0,2016-11-18,116.15058135986328
8,0.0,2016-11-21,117.87411499023438
8,0.0,2016-11-22,117.80168914794922
8,0.0,2016-11-23,117.30201721191406
8,0.0,2016-11-25,118.1420440673828
8,0.0,2016-11-28,119.14144134521484
8,0.0,2016-11-29,118.42450714111328
9,-1.0,2017-02-15,132.60855102539062
9,-1.0,2017-02-16,132.4260711669922
9,-1.0,2017-02-17,131.871337890625
9,-1.0,2017-02-21,131.57208251953125
9,-1.0,2017-02-22,132.22174072265625
9,-1.0,2017-02-23,132.58668518066406
9,-1.0,2017-02-24,132.36770629882812
9,-1.0,2017-02-27,130.94439697265625
9,-1.0,2017-02-28,131.25094604492188
9,-1.0,2017-03-01,132.80564880371094
10,0.0,2017-04-28,116.99597930908205
10,0.0,2017-05-01,115.9376220703125
10,0.0,2017-05-02,116.12735748291016
10,0.0,2017-05-03,115.78431701660156
10,0.0,2017-05-04,116.09087371826172
10,0.0,2017-05-05,113.17127227783205
10,0.0,2017-05-08,112.78803253173828
10,0.0,2017-05-09,112.10997009277344
10,0.0,2017-05-10,111.47610473632812
10,0.0,2017-05-11,111.03388214111328
11,1.0,2017-08-07,105.74198150634766
11,1.0,2017-08-08,105.84628295898438
11,1.0,2017-08-09,105.593017578125
11,1.0,2017-08-10,105.64515686035156
11,1.0,2017-08-11,105.64515686035156
11,1.0,2017-08-14,106.00267028808594
11,1.0,2017-08-15,105.81647491455078
11,1.0,2017-08-16,106.1367645263672
11,1.0,2017-08-17,104.79608154296876
11,1.0,2017-08-18,104.05125427246094
12,0.0,2017-08-16,106.1367645263672
12,0.0,2017-08-17,104.79608154296876
12,0.0,2017-08-18,104.05125427246094
12,0.0,2017-08-21,104.5204849243164
12,0.0,2017-08-22,105.02696990966795
12,0.0,2017-08-23,105.86862182617188
12,0.0,2017-08-24,106.46446228027344
12,0.0,2017-08-25,107.06031036376952
12,0.0,2017-08-28,106.1441879272461
12,0.0,2017-08-29,106.61344146728516
13,-1.0,2017-10-09,109.77890014648438
13,-1.0,2017-10-10,110.60565948486328
13,-1.0,2017-10-11,109.95025634765624
13,-1.0,2017-10-12,109.51078033447266
13,-1.0,2017-10-13,109.56291198730467
13,-1.0,2017-10-16,109.36182403564452
13,-1.0,2017-10-17,109.14583587646484
13,-1.0,2017-10-18,118.8210678100586
13,-1.0,2017-10-19,119.84144592285156
13,-1.0,2017-10-20,120.7128677368164
14,0.0,2017-10-26,114.40423583984376
14,0.0,2017-10-27,114.46383666992188
14,0.0,2017-10-30,114.97029113769533
14,0.0,2017-10-31,114.7468490600586
14,0.0,2017-11-01,114.7245101928711
14,0.0,2017-11-02,114.2180404663086
14,0.0,2017-11-03,112.89971923828124
14,0.0,2017-11-06,112.34856414794922
14,0.0,2017-11-07,112.72840118408205
